iter	Passed	Remaining
850	4484	48209
851	4489	48203
852	4492	48179
853	4498	48181
854	4505	48185
855	4510	48181
856	4516	48183
857	4520	48169
858	4526	48164
859	4531	48157
860	4537	48157
861	4542	48151
862	4547	48144
863	4552	48136
864	4557	48130
865	4563	48134
866	4567	48114
867	4572	48109
868	4577	48097
869	4582	48093
870	4588	48089
871	4592	48077
872	4595	48049
873	4602	48055
874	4607	48048
875	4612	48038
876	4616	48027
877	4621	48014
878	4626	48006
879	4631	47995
880	4636	47991
881	4641	47980
882	4646	47974
883	4651	47968
884	4656	47954
885	4661	47947
886	4665	47936
887	4670	47920
888	4675	47915
889	4680	47908
890	4685	47905
891	4690	47894
892	4696	47895
893	4701	47888
894	4707	47887
895	4711	47876
896	4717	47875
897	4724	47882
898	4730	47894
899	4736	47892
900	4741	47884
901	4746	47879
902	4751	47868
903	4756	47859
904	4761	47847
905	4766	47841
906	4773	47853
907	4778	47847
908	4783	47838
909	4787	47826
910	4792	47818
911	4798	47811
912	4802	47795
913	4808	47801
914	4814	47800
915	4818	47788
916	4824	47788
917	4830	47784
918	4835	47781
919	4840	47776
920	4846	47773
921	4851	47772
922	4856	47755
923	4860	47743
924	4865	47737
925	4872	47743
926	4878	47743
927	4884	47747
928	4889	47744
929	4894	47730
930	4899	47724
931	4904	47718
932	4909	47706
933	4913	47696
934	4918	47688
935	4924	47686
936	4929	47683
937	4934	47667
938	4939	47660
939	4943	47646
940	4948	47641
941	4954	47639
942	4959	47632
943	4964	47629
944	4970	47626
945	4975	47623
946	4980	47611
947	4985	47604
948	4991	47604
949	4996	47593
950	5001	47586
951	5006	47586
952	5012	47585
953	5017	47580
954	5023	47580
955	5028	47573
956	5034	47568
957	5039	47565
958	5046	47573
959	5050	47558
960	5055	47551
961	5061	47549
962	5066	47540
963	5072	47543
964	5076	47531
965	5082	47533
966	5088	47528
967	5093	47526
968	5097	47512
969	5102	47498
970	5107	47492
971	5112	47483
972	5117	47476
973	5123	47475
974	5127	47463
975	5132	47457
976	5137	47449
977	5141	47433
978	5147	47432
979	5153	47429
980	5158	47422
981	5163	47420
982	5168	47413
983	5174	47410
984	5178	47396
985	5184	47400
986	5190	47395
987	5196	47395
988	5200	47386
989	5205	47379
990	5211	47374
991	5217	47381
992	5222	47372
993	5227	47361
994	5231	47347
995	5238	47353
996	5243	47352
997	5247	47334
998	5251	47320
999	5257	47313
1000	5262	47312
1001	5269	47317
1002	5274	47309
1003	5279	47306
1004	5285	47304
1005	5290	47298
1006	5296	47296
1007	5301	47292
1008	5306	47287
1009	5310	47272
1010	5316	47266
1011	5321	47260
1012	5326	47253
1013	5331	47243
1014	5336	47240
1015	5340	47227
1016	5346	47224
1017	5352	47222
1018	5357	47221
1019	5362	47213
1020	5365	47189
1021	5371	47184
1022	5376	47181
1023	5381	47174
1024	5386	47164
1025	5392	47165
1026	5398	47166
1027	5405	47180
1028	5411	47177
1029	5416	47169
1030	5421	47160
1031	5426	47151
1032	5430	47142
1033	5435	47134
1034	5440	47125
1035	5445	47117
1036	5450	47105
1037	5454	47095
1038	5460	47094
1039	5465	47089
1040	5470	47079
1041	5475	47073
1042	5482	47081
1043	5488	47084
1044	5493	47076
1045	5498	47065
1046	5503	47063
1047	5509	47064
1048	5514	47058
1049	5519	47050
1050	5525	47048
1051	5530	47043
1052	5536	47038
1053	5541	47036
1054	5547	47032
1055	5551	47023
1056	5557	47020
1057	5563	47017
1058	5568	47012
1059	5573	47008
1060	5580	47012
1061	5586	47018
1062	5591	47009
1063	5597	47009
1064	5603	47008
1065	5608	47005
1066	5612	46987
1067	5616	46970
